disciplina;materia;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta_correta;justificativa;dica;formula
Direito Administrativo;Licitações;Médio;O Município Alfa instaurou processo administrativo visando à contratação que tem por objeto a coleta, o processamento e a comercialização de resíduos sólidos urbanos recicláveis ou reutilizáveis, em áreas com sistema de coleta seletiva de lixo. No curso do processo, restou identificada a Cooperativa Delta, formada exclusivamente de pessoas físicas de baixa renda reconhecidas pelo poder público como catadores de materiais recicláveis, com o uso de equipamentos compatíveis com as normas técnicas, ambientais e de saúde pública. Assim, a municipalidade está em vias de efetivar a contratação direta da Cooperativa Delta, sem prévio processo licitatório, mediante dispensa de licitação. A sociedade empresária Beta, que atua no ramo de resíduos sólidos e possui um aterro sanitário legalizado, inclusive com a devida licença ambiental, pretende ser contratada para o mesmo objeto antes descrito e ajuizou ação judicial pleiteando, em sede de tutela de urgência inibitória, a proibição de contratação do serviço pretendido pelo Município Alfa sem prévia licitação. Conclusos os autos, o magistrado, atento à Lei nº 14.133/21, deve;deferir a liminar, pois a natureza do serviço a ser contratado pelo Município Alfa exige prévia licitação, cuja modalidade será determinada pelo valor estimado da contratação.;deferir a liminar, pois a natureza do serviço a ser contratado pelo Município Alfa exige prévia licitação, na modalidade pregão, que é obrigatória para aquisição de serviços comuns, cujo critério de julgamento poderá ser o de menor preço ou o de maior desconto.;deferir a liminar, pois a natureza do serviço a ser contratado pelo Município Alfa exige prévia licitação, na modalidade diálogo competitivo, em que a Administração Pública realiza diálogos com licitantes previamente selecionados mediante critérios objetivos, com o intuito de desenvolver uma ou mais alternativas capazes de atender às suas necessidades.;indeferir a liminar, pois, não obstante a contratação pretendida pelo Município Alfa não ser possível mediante dispensa de licitação, é cabível, na hipótese, a contratação direta mediante inexigibilidade de licitação, bastando que a municipalidade convalide os atos administrativos já praticados.;indeferir a liminar, pois a contratação pretendida pelo Município Alfa é possível mediante dispensa de licitação, por expressa previsão legal, desde que seja instruída com os documentos indicados na legislação de regência.;e;A Lei 14.133/21, art. 74, VI, permite a dispensa de licitação para contratação de cooperativas de catadores de materiais recicláveis.;A dispensa de licitação para cooperativas de catadores está prevista na lei de licitações.;Não se aplica.
Direito Administrativo;Responsabilidade Civil do Estado;Médio;Na capital do Estado Alfa, profissionais da área de saúde realizaram manifestação pública por melhores condições de trabalho e salariais. Criminosos se infiltraram no meio da passeata, para subtrair pertencentes dos manifestantes, em especial aparelhos celulares, ocasião em que a Polícia Militar chegou ao local para reprimir os delitos. Durante a atuação da polícia, Pedro, jornalista que cobria o evento, apesar de não ter descumprido ostensiva e clara advertência quanto ao acesso a áreas definidas como de grave risco a sua integridade física, acabou sendo lesionado por ter sido atingido pelo cassetete arremessado por um policial militar, em situação de evidente tumulto entre policiais e manifestantes. Diante do documentado dano material que sofreu por ter seu braço quebrado, Pedro ajuizou ação indenizatória em face do Estado Alfa. Após o regular curso processual, o feito foi concluso para sentença e o magistrado, observando a jurisprudência do Supremo Tribunal Federal, deve julgar a pretensão indenizatória de Pedro;procedente, diante da responsabilidade civil objetiva do Estado, não incidindo a excludente da responsabilidade da culpa exclusiva da vítima.;procedente em parte, diante da responsabilidade civil subjetiva do Estado, incidindo a excludente da responsabilidade da culpa exclusiva da vítima apenas para fins de compensação no valor da indenização.;improcedente, uma vez que, apesar da responsabilidade civil subjetiva do Estado, não ficou demonstrado abuso ou excesso na conduta policial.;improcedente, uma vez que, apesar da responsabilidade civil objetiva do Estado, incide a excludente da responsabilidade do caso fortuito ou força maior.;improcedente, uma vez que, apesar da responsabilidade civil objetiva do Estado, incide a excludente da responsabilidade da culpa exclusiva de terceiro.;a;O Estado é responsável objetivamente por danos causados por agentes públicos, e não há excludente no caso, pois a vítima não contribuiu para o dano.;A responsabilidade do Estado é objetiva, e a excludente de culpa exclusiva da vítima não se aplica.;Não se aplica.
Direito da Magistratura;Ética Judicial;Fácil;A juíza Joana, que acabou de se tornar vitalícia, foi convidada por veículo de imprensa para dar uma entrevista sobre determinado caso. Preocupada com as cautelas que deve adotar, Joana verificou que, de acordo com o Código de Ética da Magistratura Nacional, editado pelo Conselho Nacional de Justiça, deve;abster-se de emitir opinião sobre processo pendente de seu julgamento, mas pode fazê-lo em relação ao processo que será julgado por outro magistrado.;abster-se de emitir juízo depreciativo sobre despachos, votos, sentenças ou acórdãos, de órgãos judiciais, ressalvada a crítica nos autos, doutrinária ou no exercício do magistério.;observar que, caso se manifeste sobre processo pendente de seu julgamento, não poderá fazer juízo de valor sobre fatos ainda não decididos e deverá automaticamente se declarar suspeita para prosseguir no feito após a entrevista.;observar os sigilos legais decretados em processos judiciais, somente podendo dar entrevista porque já adquiriu a vitaliciedade, que, no primeiro grau, é adquirida após dois anos de exercício.;observar os sigilos legais decretados em processos judiciais, mas não lhe é exigido que evite comportamentos que impliquem a busca injustificada e desmesurada por reconhecimento social, mormente a autopromoção em publicação de qualquer natureza.;b;O Código de Ética da Magistratura veda ao juiz emitir juízo depreciativo sobre decisões de outros magistrados, exceto em críticas nos autos, doutrinárias ou no magistério.;A crítica a decisões de outros magistrados só é permitida em determinados contextos.;Não se aplica.
Direito da Criança e do Adolescente;Trabalho Infantil;Médio;No plano internacional, as duas principais normas a respeito do trabalho do adolescente são as Convenções da Organização Internacional do Trabalho nº 138, de 1973, sobre a idade mínima de admissão ao emprego, e nº 182, de 1999, sobre as piores formas de trabalho infantil. No plano nacional, o Estatuto da Criança e do Adolescente de 1990, do Art. 60 ao 69, prevê o direito à profissionalização e à proteção no trabalho infantil. Baseado nas normas internacionais e internas de proteção à criança e ao adolescente, além da CRFB/88, analise as afirmativas a seguir. I. A CRFB/88 proíbe o trabalho noturno, perigoso e insalubre a menores de 18 anos e de qualquer trabalho a menores de 16 anos, salvo na condição de aprendiz a partir de 14 anos. II. A Convenção 182 estipula que o trabalho nas atividades consideradas como piores formas de trabalho é proibido antes dos 16 anos de idade. III. É permitida qualquer atividade laboral realizada por adolescentes menores de 14 anos que se mostre imprescindível à sobrevivência e ao sustento do próprio trabalhador infantil e de sua família. IV. A doutrina da proteção integral da criança e do adolescente tem, como um de seus desdobramentos, a doutrina da situação irregular, ambas albergadas pelo Estatuto da Criança e do Adolescente (ECA). Está correto o que se afirma em;I, apenas.;IV, apenas.;I e IV, apenas.;II e III, apenas.;I e II, apenas.;a;A afirmativa I está correta conforme a CF. A II está incorreta porque a Convenção 182 proíbe as piores formas de trabalho para menores de 18 anos. A III está incorreta porque o trabalho é proibido antes dos 16 anos, salvo aprendiz a partir de 14. A IV está incorreta porque a doutrina da situação irregular foi substituída pela proteção integral.;A CF proíbe trabalho antes dos 16 anos, salvo aprendiz a partir de 14.;Não se aplica.
Direito Internacional;Objetivos de Desenvolvimento Sustentável;Fácil;Com 17 Objetivos de Desenvolvimento Sustentável (ODS) e 169 metas universais construídos após intensa consulta pública mundial, a Agenda 2030 da Organização das Nações Unidas possui propósitos ambiciosos e transformadores, com grande foco nas pessoas mais vulneráveis. Um compromisso internacional de tal porte exige a atuação de todos os Poderes da República Federativa do Brasil e a participação do Supremo Tribunal Federal (STF) é fundamental para a efetivação de medidas para este desafio mundial tendo em vista a possibilidade de se empreender no âmbito da Corte políticas e ações concretas. Como primeiras iniciativas, todos os processos de controle de constitucionalidade e com repercussão geral reconhecida indicados pelo Presidente para a pauta de julgamento estão classificados com o respectivo objetivo de desenvolvimento sustentável. Da mesma forma, o periódico de informativo de jurisprudência do STF já conta com essa marcação, permitindo a correlação clara e direta sobre o julgamento e os ODS. Avançou também neste momento para os processos julgados, com acórdãos publicados no ano de 2020. Neste amplo projeto de aproximação do STF com a Agenda 2030, estão programadas para as próximas etapas a identificação de processos de controle concentrado e com repercussão geral reconhecida ainda em tramitação, mesmo sem indicação de julgamento próximo. (Disponível em https://portal.stf.jus.br/hotsites/agenda-2030/) Entre os ODS, o Objetivo 16 visa a promover sociedades pacíficas e inclusivas para o desenvolvimento sustentável, proporcionar o acesso à justiça para todos e construir instituições eficazes, responsáveis e inclusivas em todos os níveis, mediante o cumprimento de algumas metas. As opções a seguir apresentam, corretamente, algumas dessas metas, à exceção de uma. Assinale-a.;Até 2030, fornecer identidade legal para todos, incluindo o registro de nascimento.;Reduzir substancialmente a corrupção e o suborno em todas as suas formas.;Garantir a tomada de decisão responsiva, inclusiva, participativa e representativa em todos os níveis.;Até 2030, zerar os fluxos financeiros e os de armas ilegais, reforçar a recuperação e a devolução de recursos roubados e combater as formas de crime organizado ligadas a crimes hediondos.;Fortalecer as instituições nacionais relevantes, inclusive por meio da cooperação internacional, para a construção de capacidades em todos os níveis, em particular nos países em desenvolvimento, para a prevenção da violência e o combate ao terrorismo e ao crime.;d;"A meta D não está corretamente redigida conforme os ODS. O ODS 16 não menciona ""crimes hediondos"" especificamente.";As metas do ODS 16 focam em paz, justiça e instituições eficazes.;Não se aplica.
Direito Empresarial;Compliance e Lei Anticorrupção;Médio;O termo compliance pode ser entendido como “estar em conformidade” e vem ganhando crescente importância na implementação de estruturas, processos e mecanismos tanto no setor privado como no setor público. Para minimizar os riscos de corrupção, o compliance foi ganhando espaço no setor público, especialmente com a entrada em vigor da Lei Anticorrupção (Lei nº 12.864/2013). Sobre o tema, analise as afirmativas a seguir. I. Por meio da responsabilidade subjetiva, as empresas podem ser punidas por atos de corrupção, independentemente de culpa, bastando a comprovação de que tais atos tenham sido praticados em seu interesse ou benefício. II. A responsabilização da pessoa jurídica não exclui a responsabilidade individual de seus dirigentes ou administradores ou de qualquer pessoa natural, autora, coautora ou partícipe do ato ilícito. III. A Lei Anticorrupção não abrange todas as esferas da Administração Pública (municipal, estadual e federal), tendo incidência direta apenas no âmbito federal. Está correto o que se afirma em;II, apenas.;I e II, apenas.;I e III, apenas.;II e III, apenas.;I, II e III.;a;A afirmativa II está correta. A I está incorreta porque a responsabilidade é objetiva, não subjetiva. A III está incorreta porque a lei abrange todas as esferas.;A Lei Anticorrupção estabelece responsabilidade objetiva da pessoa jurídica.;Não se aplica.
Direito da Magistratura;Princípios de Bangalore;Médio;Os Princípios de Conduta Judicial de Bangalore foram elaborados pelo Grupo de Integridade Judicial, constituído sob os auspícios das Nações Unidas. Sua elaboração teve início no ano de 2000, em Viena (Áustria), os princípios foram formulados em abril de 2001, em Bangalore (Índia) e oficialmente aprovados em novembro de 2002, em Haia (Holanda). Os Princípios de Conduta Judicial de Bangalore é um projeto de Código Judicial em âmbito global, elaborado com base em outros códigos e estatutos, nacionais, regionais e internacionais, sobre o tema, dentre eles a Declaração Universal dos Direitos Humanos, da ONU. (...) Os Princípios de Bangalore subsidiaram a elaboração do Código Ibero-Americano de Ética Judicial, promovido pela Cúpula Judicial Ibero-Americana, para ser instrumento norteador de condutas no âmbito dos países Ibero-Americanos, traduzido e editado pelo Centro de Estudos Judiciários. https://www.unodc.org/documents/lpobrazil/Topics_corruption/Publicacoes/2008_ Comentarios_aos_Principios_de_Bangalore.pdf) De acordo com os mencionados Princípios de Bangalore, o Juiz que acabou de ingressar na magistratura deve observar que;a motivação em matéria de Direito deve limitar-se a invocar as normas aplicáveis, especialmente nas resoluções sobre o fundo dos assuntos, não devendo ostentar uma intensidade máxima.;a vinculação ocorre apenas pelo texto das normas jurídicas vigentes, e não pelas razões nas quais se fundamentam, em atendimento ao princípio da legalidade.;a independência judicial implica que, sob o ponto de vista ético, o Juiz não deve participar, de qualquer modo, de atividade política partidária.;a obrigação da formação continuada dos juízes restringe-se às matérias especificamente jurídicas, para evitar subjetivismo em relação a outros ramos do conhecimento.;o segredo profissional tem como fundamento salvaguardar a confiança no Judiciário e não especificamente os direitos das partes e das pessoas próximas perante o uso indevido de informações obtidas pelo Juiz no desempenho das suas funções.;c;Os Princípios de Bangalore vedam ao juiz participar de atividade política partidária para preservar a independência judicial.;A independência judicial é um dos pilares dos Princípios de Bangalore.;Não se aplica.
Direito Constitucional;Organização Judiciária Estadual;Médio;O Estado Alfa publicou lei estadual, de iniciativa do Judiciário estadual, instituindo o novo Código de Organização Judiciária daquele Estado, que contém dispositivo que disciplina os critérios de desempate em caso de promoção de juízes por antiguidade. A norma prevê que verificado empate, na apuração da antiguidade, dar-se-á a precedência ao magistrado mais antigo na carreira. Permanecendo o impasse, promover-se-á aquele que tiver maior tempo de serviço público, ou, sucessivamente, o mais idoso. De acordo com a jurisprudência do Supremo Tribunal Federal, a citada norma é;inconstitucional, porque, não obstante o Estado tenha competência para legislar sobre o tema, desde que observada a iniciativa de lei ao Judiciário, a norma conflita com a Lei Orgânica da Magistratura Nacional que dispõe que, havendo empate na antiguidade, terá precedência o Juiz com maior produtividade.;constitucional, porque são cabíveis, como medida de desempate entre os concorrentes à promoção por antiguidade, condições estranhas à função jurisdicional, desde que no âmbito do serviço público, mediante a utilização do critério de tempo de serviço público que favoreça o magistrado com trajetória profissional exercida no setor público.;inconstitucional, porque, não obstante o Estado tenha competência para legislar sobre o tema, desde que observada a iniciativa de lei ao Judiciário, a norma conflita materialmente com a Constituição da República que prevê que, na Justiça dos Estados, apurar-se-á na entrância a antiguidade e, havendo empate na antiguidade, terá precedência o Juiz mais antigo na carreira, ou, sucessivamente, o mais idoso.;constitucional, porque os Tribunais possuem autogoverno e competência para editar seus regimentos internos, podendo complementar a Lei Orgânica da Magistratura Nacional no que tange à alteração da organização e da divisão judiciárias.;inconstitucional, por violar a reserva de lei complementar e a iniciativa da Suprema Corte para disciplinar matéria concernente ao Estatuto da Magistratura, veiculando conteúdo que exorbitou indevidamente do regramento;c;A CF, no art. 93, I, estabelece que a promoção por antiguidade obedece à entrância, e o desempate é pelo mais antigo na carreira ou mais idoso. A lei estadual não pode inovar.;A CF define os critérios de promoção na magistratura.;Não se aplica.
Direito Internacional;Corte Interamericana de Direitos Humanos;Médio;O caso Valência Campos e outros vs. Bolívia, apreciado pela Corte Interamericana de Direitos Humanos em 2022, suscitou a análise acerca das garantias que devem ser asseguradas no curso de operações policiais de busca e apreensão em domicílios no período noturno. A Corte IDH declarou a responsabilidade do Estado boliviano à luz da Convenção Americana sobre Direitos Humanos (“Convenção”) pela violação de uma série de direitos das vítimas que, à época dos fatos, foram alvo de uma operação policial que tinha por objetivo identificar e deter os supostos autores de um roubo de grande repercussão na Bolívia. Sobre as contribuições dessa sentença à jurisprudência interamericana, assinale a afirmativa correta.;A Corte se absteve de declarar violações aos direitos econômicos, sociais, culturais e ambientais (DESCA), por entender que o caso envolveu apenas violações relativas aos direitos às garantias judiciais, à liberdade pessoal e à intimidade, isto é, Direitos de natureza civil.;O entendimento da Corte IDH sobre a limitação de operações de invasão domiciliar durante a noite tem por fundamento o direito à vida privada, previsto no Art. 11 da Convenção e as obrigações estatais de proteção da família, decorrentes do Art. 17 da Convenção.;A Corte IDH concluiu que as operações de invasão domiciliar noturnas somente podem ser consideradas compatíveis com a Convenção Americana em situações de consentimento, flagrância ou de comprovada periculosidade do alvo da operação.;O caso Valência Campos vs. Bolívia reflete uma tendência recente da Corte IDH de restringir o conceito de “vítima”, compreendendo como tais apenas os indivíduos que foram diretamente atingidos pelos atos praticados por agentes do Estado, no caso, as pessoas que eram alvos das invasões domiciliares noturnas.;A Corte IDH concluiu que o Estado não violou o direito à presunção de inocência ao exibir as vítimas aos meios de imprensa, tendo em consideração que o caso teve grande repercussão midiática e que o Estado não poderia prevenir tal exposição.;b;A Corte IDH fundamentou a limitação de operações noturnas no direito à vida privada e proteção da família.;A Convenção Americana protege a vida privada e a família.;Não se aplica.
Direito Internacional;Corte Interamericana de Direitos Humanos;Médio;A competência consultiva da Corte Interamericana de Direitos Humanos constitui um dos mecanismos por meio dos quais o Tribunal exerce sua função de interpretação da Convenção Americana sobre Direitos Humanos, ao lado do exercício de suas competências contenciosa e cautelar. Sobre as Opiniões Consultivas emitidas pela Corte IDH, assinale a afirmativa correta.;As Opiniões Consultivas só podem ser solicitadas por Estados que reconhecem a competência da Corte IDH nos termos do Art. 64 da Convenção e pela Comissão Interamericana de Direitos Humanos.;Na Opinião Consultiva nº 1 de 1982, denominada Otros tratados, objecto de la función consultiva de la Corte, a Corte IDH reconheceu que sua competência consultiva compreende qualquer tratado internacional aplicável aos Estados do sistema interamericano, desde que o instrumento possua caráter multilateral.;As Opiniões Consultivas não podem versar sobre disposições normativas concretas de um determinado Estado, apenas sobre as situações hipotéticas e sobre a interpretação de tratados internacionais em relação aos quais é competente.;Caso encontre disposições incompatíveis com a Convenção no exame das matérias submetidas em sede de solicitação de opinião consultiva, a Corte poderá ordenar ao Estado que adote as medidas necessárias para adequá-las ao corpus iuris interamericano.;As Opiniões Consultivas da Corte IDH podem ser consideradas modalidade de exercício preventivo do controle de convencionalidade e são fontes standards que devem ser observados pelos Estados.;e;As Opiniões Consultivas servem como padrões para os Estados e são forma de controle preventivo de convencionalidade.;A competência consultiva da Corte IDH é preventiva e orientadora.;Não se aplica.
Direito Internacional;Direitos Humanos;Fácil;Os Direitos Humanos assumiram, na atualidade, uma posição de centralidade no ordenamento jurídico, razão pela qual os conteúdos desses direitos agem como importante vetor interpretativo. Acerca das características e especificidades dos Direitos Humanos, assinale a afirmativa correta.;A universalidade dos Direitos Humanos acompanhou a evolução e o processo de internacionalização desses direitos. No entanto, apesar de sua relevância histórica, não consta expressamente de tratados e declarações internacionais, sendo fruto de um processo interpretativo.;"A abertura limitada dos Direitos Humanos possui relação com sua amplitude semântica; por isso, no processo legislativo admite-se a expansão do rol desses direitos somente no plano internacional, vedada inovação no âmbito interno.";A impossibilidade de o próprio titular de direitos renunciar à proteção e permitir que eles sejam violados é chamada pela doutrina de imprescritibilidade dos Direitos Humanos.;O Art. 5º, § 2º, da CRFF/88, in verbis: “Os direitos e garantias expressos nesta Constituição não excluem outros decorrentes do regime e dos princípios por ela adotados, ou dos tratados internacionais em que a República Federativa do Brasil seja parte”, é um exemplo de universalidade dos Direitos Humanos.;A relevância da transnacionalidade, como característica dos Direitos Humanos, possui especial aplicabilidade atualmente, dado o grande fluxo de refugiados.;e;A transnacionalidade refere-se à aplicação dos direitos humanos além das fronteiras nacionais, relevante para refugiados.;Direitos humanos são universais e transnacionais.;Não se aplica.
Direito Internacional;Corte Interamericana de Direitos Humanos;Médio;Casos envolvendo o delito de desaparecimento forçado são uma constante na jurisprudência contenciosa da Corte Interamericana de Direitos Humanos, desde a primeira sentença que proferiu no caso Velásquez Rodriguez vs. Honduras, em 1987. O Tribunal reconhece que se trata de violação múltipla aos direitos previstos na Convenção Americana sobre Direitos Humanos. A respeito do tema, analise as afirmativas a seguir. I. Segundo o entendimento da Corte IDH, o crime de desaparecimento forçado é um crime permanente que se prolonga no tempo até que o Estado comprove que o desaparecido já morreu. II. A proibição do desaparecimento forçado possui status de ius cogens. III. A Corte IDH reconhece o direito autônomo dos familiares a conhecer a verdade, que compreende não apenas as obrigações estatais derivadas dos artigos 8 e 25 da Convenção, mas também o direito de acesso à informação prescrito no Art. 13.1. Está correto o que se afirma em;I, apenas.;I e II, apenas.;I e III, apenas.;II e III, apenas.;I, II e III.;e;As três afirmativas estão corretas conforme a jurisprudência da Corte IDH.;O desaparecimento forçado é crime permanente e de ius cogens.;Não se aplica.
Direito Internacional;Sistema Interamericano de Direitos Humanos;Médio;Acerca da Carta da Organização dos Estados Americanos (OEA) e da Declaração Americana de Direitos e Deveres do Homem, assinale a afirmativa correta.;A Carta da OEA foi editada durante a 9ª Conferência Interamericana realizada em Bogotá, em 1948. Em razão da sua finalidade precípua de constituir formalmente a Organização dos Estados Americanos, o referido documento internacional não continha disposições relacionadas aos Direitos Humanos. Com vistas à abordagem desta temática específica, foi posteriormente editada a Declaração Americana de Direitos e Deveres do Homem.;A Declaração Americana de Direitos e Deveres do Homem é também conhecida como Pacto de São José da Costa Rica, por ter sido adotada durante a Conferência Especializada interamericana sobre Direitos Humanos realizada naquela cidade, em 1969.;De acordo com a posição majoritária, a Declaração Americana de Direitos e Deveres do Homem possui força vinculante. Contudo, vincula apenas aqueles Estados que a ratificaram expressamente, não abrangendo todos os países que ratificaram a Carta da OEA.;A Carta da OEA abordou o tema dos Direitos Humanos de forma mais genérica. Já a Declaração Americana de Direitos e Deveres do Homem é considerada uma interpretação autêntica dos dispositivos genéricos de proteção dos Direitos Humanos da Carta.;A Declaração Americana de Direitos e Deveres do Homem foi inspirada na Declaração Universal dos Direitos Humanos, editada poucos meses antes pela Organização das Nações Unidas.;d;A Declaração Americana é interpretação autêntica da Carta da OEA no que diz respeito aos direitos humanos.;A Declaração Americana complementa a Carta da OEA.;Não se aplica.
Direito Internacional;Controle de Convencionalidade;Médio;Em relação ao controle de convencionalidade, assinale a afirmativa correta.;De acordo com a teoria do duplo controle, as normas jurídicas devem guardar compatibilidade não apenas com a respectiva Constituição nacional, mas também com as disposições internacionais acolhidas pelo respectivo Estado-parte. Assim, para ser considerada hígida, a norma deve passar tanto pelo controle de constitucionalidade quanto pelo controle de convencionalidade.;Enquanto o controle judicial de constitucionalidade é exercido de modo exclusivo pelo Poder Judiciário nacional, o controle judicial de convencionalidade é exercido de modo exclusivo pelos órgãos internacionais competentes, de acordo com o que preconiza o tratado ou a convenção internacional especificamente.;De acordo com a classificação doutrinária comumente empregada, o controle judicial de convencionalidade realizado no plano internacional, pode ocorrer pela via concentrada ou pela via difusa. Já o controle judicial de convencionalidade realizado no plano interno somente pode ocorrer pela via concentrada, isto é, pelo órgão de cúpula do Poder Judiciário nacional.;De acordo com a teoria do duplo controle, impõe-se ao órgão internacional com competência para a realização do controle de convencionalidade que promove, igualmente, o controle de constitucionalidade das normas jurídicas analisadas, aferindo a sua compatibilidade em face da Carta Constitucional do respectivo Estado-parte.;Diversamente do que se verifica em relação ao controle de constitucionalidade, comumente atribuído pelas cartas constitucionais a todos os poderes (Legislativo, Executivo e Judiciário), no plano nacional, o controle de convencionalidade somente é imputado ao Poder Judiciário.;a;A teoria do duplo controle exige que a norma seja compatível com a Constituição e com os tratados internacionais.;O controle de convencionalidade é exercido internamente pelos juízes.;Não se aplica.
Direito Processual Civil;Mandado de Segurança;Médio;No que concerne à ação de mandado de segurança, assinale a afirmativa correta.;Proferindo o juiz sentença de procedência do pedido, estará ela sujeita ao reexame necessário pelo órgão de segunda instância.;A decisão de indeferimento da medida liminar é impugnável pelo recurso de agravo de instrumento, não o sendo, contudo, a que a defere.;O juiz poderá, caso repute necessário para a completa instrução do feito, determinar a colheita do depoimento pessoal da autoridade impetrada.;O impetrante dispõe do prazo de cento e vinte dias para ajuizar a demanda, contados a partir da edição, pela autoridade impetrada, do ato impugnado.;Concedida a segurança, para o fim de assegurar ao impetrante o recebimento de vantagens pecuniárias, não lhe será lícito deduzir pretensão de execução por quantia certa em sede de cumprimento de sentença.;b;A decisão que indefere a liminar no mandado de segurança é agravável por instrumento, conforme art. 1.016, II, do CPC.;O agravo de instrumento é cabível contra decisão que indefere liminar em mandado de segurança.;Não se aplica.
Direito Processual Civil;Ação Popular;Médio;André intentou ação popular, pleiteando a declaração de nulidade de contrato celebrado entre a Administração Pública e a sociedade empresária X. De acordo com a petição inicial, o contrato impugnado, além de lesivo ao patrimônio público, foi fruto de desvio de finalidade, consubstanciado no propósito de favorecer a empresa contratada. A peça exordial foi distribuída no dia 27 de fevereiro de 2024 a um juízo dotado de competência para matéria fazendária de uma determinada comarca. Após o juízo positivo de admissibilidade da ação, as citações dos litisconsortes passivos ocorreram nos dias 25 e 28 de março de 2024. Ignorando a iniciativa de André, Bruno também ajuizou ação popular para ver declarado nulo o mesmo contrato, estribando-se, para tanto, no argumento de que a avença padecia de vícios de forma e de incompetência do agente estatal que a firmara. A petição inicial foi distribuída a um outro juízo fazendário da mesma comarca, o que se deu no dia 05 de março de 2024, efetivando-se as citações, após o juízo positivo de admissibilidade da demanda, nos dias 18 e 21 de março de 2024. Nesse cenário, é correto afirmar que;está configurada a conexão entre as ações populares, devendo os respectivos feitos ser reunidos para processamento e julgamento simultâneos pelo juízo ao qual foi distribuída a petição inicial de André.;está configurada a conexão entre as ações populares, devendo os respectivos feitos ser reunidos para processamento e julgamento simultâneos pelo juízo ao qual foi distribuída a petição inicial de Bruno.;está configurada a continência entre as ações populares, devendo os respectivos feitos ser reunidos para processamento e julgamento simultâneos pelo juízo ao quale foi distribuída a petição inicial de André.;está configurada a continência entre as ações populares, devendo os respectivos feitos ser reunidos para processamento e julgamento simultâneos pelo juízo ao qual foi distribuída a petição inicial de Bruno.;não está configurada a conexão nem a continência entre as ações populares, devendo os respectivos feitos tramitar separadamente perante os juízos aos quais foi distribuída cada petição inicial.;a;Há conexão porque as ações têm mesmo objeto e causa de pedir. O juízo prevento é o de André, que foi distribuído primeiro.;Na conexão, prevalece o juízo prevento.;Não se aplica.
Direito Processual Civil;Honorários Advocatícios;Fácil;No que se refere à disciplina legal dos honorários advocatícios, é correto afirmar que;é possível a sua compensação nas hipóteses de sucumbência parcial.;é vedada a percepção de honorários sucumbenciais por advogados públicos.;os honorários serão devidos por quem deu causa ao processo, nas hipóteses de perda superveniente do interesse de agir.;não serão devidos honorários sucumbenciais quando a parte vitoriosa no processo for advogado atuando em causa própria.;não será lícito ao advogado valer-se de ação autônoma para cobrar o respectivo valor, transitando em julgado decisão que tenha sido omissa quanto ao direito aos honorários.;a;Os honorários podem ser compensados em caso de sucumbência recíproca (sucumbência parcial).;A sucumbência recíproca permite compensação de honorários.;Não se aplica.
Direito Processual Civil;Assistência Judiciária Gratuita;Médio;Determinada pessoa jurídica estrangeira intentou demanda em que pleiteava a condenação da parte ré a lhe pagar uma obrigação derivada de contrato por ambas celebrado. Além do pedido principal, a autora requereu lhe fosse deferido o benefício da gratuidade de justiça, afirmando que não dispunha de condições econômicas que lhe permitissem arcar com as despesas do processo. Ao tomar contato com a petição inicial, o juiz determinou a intimação do advogado da demandante para que anexasse documentos comprobatórios da alegada hipossuficiência econômica, o que não foi atendido. Na sequência, o magistrado indeferiu o requerimento da gratuidade de justiça e determinou a intimação da autora, uma vez mais na pessoa de seu advogado, para que, no prazo de quinze dias, recolhesse os valores apurados a título de custas processuais e taxa judiciária. Contudo, a postura inerte do causídico persistiu, o que levou o juiz a determinar o cancelamento da distribuição. Sobre esse quadro, assinale a afirmativa correta.;O juiz acertou ao determinar o cancelamento da distribuição, sendo a sua decisão impugnável por recurso de apelação.;O juiz acertou ao determinar o cancelamento da distribuição, sendo a sua decisão impugnável por recurso de agravo de instrumento.;O juiz errou ao assinar o prazo de quinze dias para o recolhimento das custas processuais e taxa judiciária, já que o prazo legal para tanto é de cinco dias.;O juiz errou ao determinar a comprovação da alegada hipossuficiência econômica da autora, já que não assiste às pessoas jurídicas estrangeiras o direito à gratuidade de justiça.;O juiz errou ao determinar a intimação do advogado da autora para que providenciasse o recolhimento das custas processuais e taxa judiciária, já que o destinatário desse ato intimatório deve ser a própria parte.;d;Pessoas jurídicas estrangeiras não têm direito à gratuidade de justiça, conforme art. 98, § 2º, do CPC.;A gratuidade de justiça é para pessoas físicas, não para jurídicas estrangeiras.;Não se aplica.
Direito Processual Civil;Ação de Conhecimento vs. Execução;Médio;Determinado credor, munido de nota promissória representativa de obrigação pecuniária certa, líquida e vencida há pouco tempo, sem que tivesse sido paga, ajuizou ação de conhecimento, pleiteando a condenação do devedor a pagar o débito, com os consectários da mora. Tomando contato com a postulação, o magistrado deverá;julgar liminarmente improcedente o pedido do autor.;indeferir de plano a petição inicial, haja vista a falta de interesse de agir.;converter de ofício o procedimento para o da execução por quantia certa.;proceder ao juízo positivo de admissibilidade da demanda, ordenando a citação do réu para apresentar resposta.;assinar prazo para que o autor emende a petição inicial, adequando-a à pretensão de execução por quantia certa.;d;A nota promissória é título executivo, mas o autor pode optar pela ação de conhecimento. O juiz deve admitir a inicial.;O credor pode escolher entre ação de conhecimento e execução.;Não se aplica.
